author_name,pmid,author_id
HuttonB.F.,2-s2.0-84896512302,316
FokasA.S.,2-s2.0-84896512302,317
BalkoJ.M.,2-s2.0-84896689570,318
GiltnaneJ.M.,2-s2.0-84896689570,319
WangK.,2-s2.0-84896689570,320
SchwarzL.J.,2-s2.0-84896689570,321
YoungC.D.,2-s2.0-84896689570,322
CookR.S.,2-s2.0-84896689570,323
OwensP.,2-s2.0-84896689570,324
SandersM.E.,2-s2.0-84896689570,325
KubaM.G.,2-s2.0-84896689570,326
SánchezV.,2-s2.0-84896689570,327
KurupiR.,2-s2.0-84896689570,328
MooreP.D.,2-s2.0-84896689570,329
PintoJ.A.,2-s2.0-84896689570,330
DoimiF.D.,2-s2.0-84896689570,331
GómezH.,2-s2.0-84896689570,332
HoriuchiD.,2-s2.0-84896689570,333
GogaA.,2-s2.0-84896689570,334
LehmannB.D.,2-s2.0-84896689570,335
BauerJ.A.,2-s2.0-84896689570,336
PietenpolJ.A.,2-s2.0-84896689570,337
RossJ.S.,2-s2.0-84896689570,338
PalmerG.A.,2-s2.0-84896689570,339
YelenskyR.,2-s2.0-84896689570,340
CroninM.,2-s2.0-84896689570,341
MillerV.A.,2-s2.0-84896689570,342
StephensP.J.,2-s2.0-84896689570,343
ArteagaC.L.,2-s2.0-84896689570,344
KoyanoY.,2-s2.0-84896690908,345
NakagamiG.,2-s2.0-84896690908,346
IizakaS.,2-s2.0-84896690908,347
MinematsuT.,2-s2.0-84896690908,348
NoguchiH.,2-s2.0-84896690908,349
TamaiN.,2-s2.0-84896690908,350
MugitaY.,2-s2.0-84896690908,351
KitamuraA.,2-s2.0-84896690908,352
TabataK.,2-s2.0-84896690908,353
AbeM.,2-s2.0-84896690908,354
MurayamaR.,2-s2.0-84896690908,355
SugamaJ.,2-s2.0-84896690908,356
SanadaH.,2-s2.0-84896690908,357
KeltyC.,2-s2.0-84896702543,358
PanofskyA.,2-s2.0-84896702543,359
BarbeauB.,2-s2.0-84896720132,360
HiscottJ.,2-s2.0-84896720132,361
BazarbachiA.,2-s2.0-84896720132,362
CarvalhoE.,2-s2.0-84896720132,363
JonesK.,2-s2.0-84896720132,364
MartinF.,2-s2.0-84896720132,365
MatsuokaM.,2-s2.0-84896720132,366
MurphyE.L.,2-s2.0-84896720132,367
RatnerL.,2-s2.0-84896720132,368
SwitzerW.M.,2-s2.0-84896720132,369
WatanabeT.,2-s2.0-84896720132,370
McLaughlinN.,2-s2.0-84896727794,371
Afsar-ManeshN.,2-s2.0-84896727794,372
RaglandV.,2-s2.0-84896727794,373
BuxeyF.,2-s2.0-84896727794,374
MartinN.A.,2-s2.0-84896727794,375
Nikolaishvilli-FeinbergN.,2-s2.0-84896730169,376
CohenS.M.,2-s2.0-84896730169,377
MidkiffB.,2-s2.0-84896730169,378
ZhouY.,2-s2.0-84896730169,379
OlorvidaM.,2-s2.0-84896730169,380
IbrahimJ.G.,2-s2.0-84896730169,381
OmoloB.,2-s2.0-84896730169,382
ShieldsJ.M.,2-s2.0-84896730169,383
ThomasN.E.,2-s2.0-84896730169,384
GrobenP.A.,2-s2.0-84896730169,385
KaufmannW.K.,2-s2.0-84896730169,386
MillerC.R.,2-s2.0-84896730169,387
FengD.,2-s2.0-84896731339,388
LiangD.,2-s2.0-84896731339,389
TierneyL.,2-s2.0-84896731339,390
MurrayP.R.,2-s2.0-84896740281,391
ThomsonS.L.,2-s2.0-84896740281,392
SmithM.E.,2-s2.0-84896740281,393
PyneJ.D.,2-s2.0-84896764392,394
GenoveseK.,2-s2.0-84896764392,395
CasalettoL.,2-s2.0-84896764392,396
GeestJ.P.V.,2-s2.0-84896764392,397
SunX.,2-s2.0-84896815074,398
WangK.,2-s2.0-84896815074,320
YuX.,2-s2.0-84896815074,399
LiuJ.,2-s2.0-84896815074,400
ZhangH.,2-s2.0-84896815074,401
ZhouF.,2-s2.0-84896815074,402
XieB.,2-s2.0-84896815074,403
LiS.,2-s2.0-84896815074,404
BongersG.,2-s2.0-84896822967,405
PacerM.E.,2-s2.0-84896822967,406
GeraldinoT.H.,2-s2.0-84896822967,407
ChenL.,2-s2.0-84896822967,408
HeZ.,2-s2.0-84896822967,409
HashimotoD.,2-s2.0-84896822967,410
FurtadoG.C.,2-s2.0-84896822967,411
OchandoJ.,2-s2.0-84896822967,412
KelleyK.A.,2-s2.0-84896822967,413
ClementeJ.C.,2-s2.0-84896822967,414
MeradM.,2-s2.0-84896822967,415
VanBakelH.,2-s2.0-84896822967,416
LiraS.A.,2-s2.0-84896822967,417
MartisR.J.,2-s2.0-84896967586,418
AcharyaU.R.,2-s2.0-84896967586,419
AdeliH.,2-s2.0-84896967586,420
DakinS.G.,2-s2.0-84897099863,421
DudhiaJ.,2-s2.0-84897099863,422
SmithR.K.W.,2-s2.0-84897099863,423
SchutA.G.T.,2-s2.0-84897392146,424
Wardell-JohnsonG.W.,2-s2.0-84897392146,425
YatesC.J.,2-s2.0-84897392146,426
KeppelG.,2-s2.0-84897392146,427
BaranI.,2-s2.0-84897392146,428
FranklinS.E.,2-s2.0-84897392146,429
HopperS.D.,2-s2.0-84897392146,430
VanNielK.P.,2-s2.0-84897392146,431
MucinaL.,2-s2.0-84897392146,432
ByrneM.,2-s2.0-84897392146,433
Garcia-TorresL.,2-s2.0-84897412458,434
Caballero-NovellaJ.J.,2-s2.0-84897412458,435
Goḿez-CandónD.,2-s2.0-84897412458,436
De-CastroA.I.,2-s2.0-84897412458,437
YanL.,2-s2.0-84897477072,438
GuY.-H.,2-s2.0-84897477072,439
TaoX.,2-s2.0-84897477072,440
LaiX.-J.,2-s2.0-84897477072,441
ZhangY.-Z.,2-s2.0-84897477072,442
TanX.-M.,2-s2.0-84897477072,443
WangH.,2-s2.0-84897477072,444
LuoM.-X.,2-s2.0-84897531985,445
XuG.,2-s2.0-84897531985,292
ChenX.-B.,2-s2.0-84897531985,446
YangY.-X.,2-s2.0-84897531985,447
WangX.,2-s2.0-84897531985,448
BrasseyC.A.,2-s2.0-84897558053,449
SellersW.I.,2-s2.0-84897558053,450
TrabucoM.H.,2-s2.0-84897606908,451
CostaM.V.C.,2-s2.0-84897606908,452
DeOliveiraNascimentoF.A.,2-s2.0-84897606908,453
ZhongD.,2-s2.0-84897772346,454
GuJ.,2-s2.0-84897772346,455
TongD.,2-s2.0-84897772346,456
FonjiS.F.,2-s2.0-84897795566,457
TaffG.N.,2-s2.0-84897795566,458
SarafP.A.,2-s2.0-84897801649,459
KamatS.,2-s2.0-84897801649,460
PuranikR.S.,2-s2.0-84897801649,461
PuranikS.,2-s2.0-84897801649,462
SarafS.P.,2-s2.0-84897801649,463
SinghB.P.,2-s2.0-84897801649,464
ThooyamaniK.P.,2-s2.0-84897819059,465
KhanaaV.,2-s2.0-84897819059,466
UdayakumarR.,2-s2.0-84897819059,467
Rivilla-GarcíaJ.,2-s2.0-84897889652,468
SilleroM.,2-s2.0-84897889652,469
GrandeI.,2-s2.0-84897889652,470
SampedroJ.,2-s2.0-84897889652,471
GómezM.A.,2-s2.0-84897889652,472
LiouY.-R.,2-s2.0-84897889774,473
TorngW.,2-s2.0-84897889774,474
KaoY.-C.,2-s2.0-84897889774,475
SungK.-B.,2-s2.0-84897889774,476
LeeC.-H.,2-s2.0-84897889774,477
KuoP.-L.,2-s2.0-84897889774,478
GhelfiP.,2-s2.0-84897891995,479
LaghezzaF.,2-s2.0-84897891995,480
ScottiF.,2-s2.0-84897891995,481
SerafinoG.,2-s2.0-84897891995,482
CapriaA.,2-s2.0-84897891995,483
PinnaS.,2-s2.0-84897891995,484
OnoriD.,2-s2.0-84897891995,485
PorziC.,2-s2.0-84897891995,486
ScaffardiM.,2-s2.0-84897891995,487
MalacarneA.,2-s2.0-84897891995,488
VercesiV.,2-s2.0-84897891995,489
LazzeriE.,2-s2.0-84897891995,490
BerizziF.,2-s2.0-84897891995,491
BogoniA.,2-s2.0-84897891995,492
HuangW.-T.,2-s2.0-84897895952,493
LinC.-W.,2-s2.0-84897895952,494
SakuraiT.,2-s2.0-84897929134,495
NamikiS.,2-s2.0-84897929134,496
KanzakiR.,2-s2.0-84897929134,497
HafenE.,2-s2.0-84897951222,498
KossmannD.,2-s2.0-84897951222,499
BrandA.,2-s2.0-84897951222,500
BronsnickT.,2-s2.0-84897970311,501
KaziN.,2-s2.0-84897970311,502
KirkorianA.Y.,2-s2.0-84897970311,503
RaoB.K.,2-s2.0-84897970311,504
GouldF.D.H.,2-s2.0-84897974349,505
NoronhaK.P.,2-s2.0-84897980968,506
AcharyaU.R.,2-s2.0-84897980968,419
NayakK.P.,2-s2.0-84897980968,507
MartisR.J.,2-s2.0-84897980968,418
BhandaryS.V.,2-s2.0-84897980968,508
CaiC.,2-s2.0-84897983754,509
LiP.,2-s2.0-84897983754,510
GuoJ.,2-s2.0-84897983754,511
WangX.,2-s2.0-84897993293,448
TangZ.,2-s2.0-84897993293,512
YanB.,2-s2.0-84897993293,513
LiL.,2-s2.0-84897993293,514
BaoS.,2-s2.0-84897993293,515
PathakP.,2-s2.0-84897996567,516
SelvakumarS.,2-s2.0-84897996567,517
SakamotoR.,2-s2.0-84898004641,518
MoriS.,2-s2.0-84898004641,519
MillerM.I.,2-s2.0-84898004641,520
OkadaT.,2-s2.0-84898004641,521
TogashiK.,2-s2.0-84898004641,522
HuhS.,2-s2.0-84898005203,523
MercerD.,2-s2.0-84898013441,524
ParkinsonD.,2-s2.0-84898013441,525
SalinetJ.L.,2-s2.0-84898013778,526
TuanJ.H.,2-s2.0-84898013778,527
SandilandsA.J.,2-s2.0-84898013778,528
StaffordP.J.,2-s2.0-84898013778,529
SchlindweinF.S.,2-s2.0-84898013778,530
AndréNgG.,2-s2.0-84898013778,531
CannonT.D.,2-s2.0-84898035169,532
SunF.,2-s2.0-84898035169,533
McewenS.J.,2-s2.0-84898035169,534
PapademetrisX.,2-s2.0-84898035169,535
HeG.,2-s2.0-84898035169,536
vanErpT.G.M.,2-s2.0-84898035169,537
JacobsonA.,2-s2.0-84898035169,538
BeardenC.E.,2-s2.0-84898035169,539
WalkerE.,2-s2.0-84898035169,540
HuX.,2-s2.0-84898035169,541
ZhouL.,2-s2.0-84898035169,542
SeidmanL.J.,2-s2.0-84898035169,543
ThermenosH.W.,2-s2.0-84898035169,544
CornblattB.,2-s2.0-84898035169,545
OlvetD.M.,2-s2.0-84898035169,546
PerkinsD.,2-s2.0-84898035169,547
BelgerA.,2-s2.0-84898035169,548
CadenheadK.,2-s2.0-84898035169,549
TsuangM.,2-s2.0-84898035169,550
MirzakhanianH.,2-s2.0-84898035169,551
AddingtonJ.,2-s2.0-84898035169,552
FrayneR.,2-s2.0-84898035169,553
WoodsS.W.,2-s2.0-84898035169,554
McglashanT.H.,2-s2.0-84898035169,555
ConstableR.T.,2-s2.0-84898035169,556
QiuM.,2-s2.0-84898035169,557
MathalonD.H.,2-s2.0-84898035169,558
ThompsonP.,2-s2.0-84898035169,559
TogaA.W.,2-s2.0-84898035169,560
McLaughlinR.L.,2-s2.0-84898050032,561
NewittD.C.,2-s2.0-84898050032,562
WilmesL.J.,2-s2.0-84898050032,563
JonesE.F.,2-s2.0-84898050032,564
WisnerD.J.,2-s2.0-84898050032,565
KornakJ.,2-s2.0-84898050032,566
ProctorE.,2-s2.0-84898050032,567
JoeB.N.,2-s2.0-84898050032,568
HyltonN.M.,2-s2.0-84898050032,569
SrivastavaS.K.,2-s2.0-84898433141,570
AroraS.,2-s2.0-84898433141,571
SinghS.,2-s2.0-84898433141,572
BhardwajA.,2-s2.0-84898433141,573
AverettC.,2-s2.0-84898433141,574
SinghA.P.,2-s2.0-84898433141,575
AbdEl-RahmanN.M.,2-s2.0-84898475874,576
BorikR.M.,2-s2.0-84898475874,577
RuhoyS.M.,2-s2.0-84898547865,578
GuineeD.G.,2-s2.0-84898547865,579
NuovoG.,2-s2.0-84898547865,580
FukazawaE.M.,2-s2.0-84898597787,581
BaiocchiG.,2-s2.0-84898597787,582
SoaresF.A.,2-s2.0-84898597787,583
KumagaiL.Y.,2-s2.0-84898597787,584
FaloppaC.C.,2-s2.0-84898597787,585
Badiglian-FilhoL.,2-s2.0-84898597787,586
CoelhoF.R.G.,2-s2.0-84898597787,587
GonçalvesW.J.,2-s2.0-84898597787,588
CostaR.L.R.,2-s2.0-84898597787,589
GóesJ.C.S.,2-s2.0-84898597787,590
RichardsonA.,2-s2.0-84898608015,591
GanzO.,2-s2.0-84898608015,592
StalgaitisC.,2-s2.0-84898608015,593
AbramsD.,2-s2.0-84898608015,594
ValloneD.,2-s2.0-84898608015,595
WolfS.A.,2-s2.0-84898614452,596
KingsleyT.,2-s2.0-84898641678,597
TancockS.,2-s2.0-84898641678,598
ChenZ.,2-s2.0-84898652964,599
ShinD.,2-s2.0-84898652964,600
ChenS.,2-s2.0-84898652964,601
MikhailK.,2-s2.0-84898652964,602
HadassO.,2-s2.0-84898652964,603
TomlisonB.N.,2-s2.0-84898652964,604
KorkinD.,2-s2.0-84898652964,605
ShyuC.-R.,2-s2.0-84898652964,606
CuiJ.,2-s2.0-84898652964,607
AnthonyD.C.,2-s2.0-84898652964,608
GuZ.,2-s2.0-84898652964,609
SimK.S.,2-s2.0-84898655021,610
ChiaF.K.,2-s2.0-84898655021,611
NiaM.E.,2-s2.0-84898655021,612
TsoC.P.,2-s2.0-84898655021,613
ChongA.K.,2-s2.0-84898655021,614
AbbasS.F.,2-s2.0-84898655021,615
ChongS.S.,2-s2.0-84898655021,616
NilssonM.F.,2-s2.0-84898677291,617
WebsterW.S.,2-s2.0-84898677291,618
PerrotY.,2-s2.0-84898688363,619
DegoulF.,2-s2.0-84898688363,620
AuzelouxP.,2-s2.0-84898688363,621
BonnetM.,2-s2.0-84898688363,622
CachinF.,2-s2.0-84898688363,623
